output_id,condition,dist_nearest_old,dist_nearest_new
C1_none_p00,C1,1.0,0.3186
C1_none_p01,C1,1.0,0.4116
C1_none_p02,C1,1.0,0.2272
C1_none_p03,C1,1.0,0.3582
C1_none_p04,C1,1.0,0.5142
C1_none_p05,C1,1.0,0.2521
C1_none_p06,C1,1.0,0.4822
C1_none_p07,C1,1.0,0.2583
C1_none_p08,C1,1.0,0.3424
C1_none_p09,C1,1.0,0.4635
C1_none_p10,C1,1.0,0.4324
C1_none_p11,C1,1.0,0.4756
C1_none_p12,C1,1.0,0.2804
C1_none_p13,C1,1.0,0.3642
C1_none_p14,C1,1.0,0.5438
C1_none_p15,C1,1.0,0.2608
C2_full_p00,C2,1.0,0.339
C2_full_p01,C2,1.0,0.5492
C2_full_p02,C2,1.0,0.2345
C2_full_p03,C2,1.0,0.4378
C2_full_p04,C2,1.0,0.4879
C2_full_p05,C2,1.0,0.3831
C2_full_p06,C2,1.0,0.4754
C2_full_p07,C2,1.0,0.2643
C2_full_p08,C2,1.0,0.3595
C2_full_p09,C2,1.0,0.4629
C2_full_p10,C2,1.0,0.4235
C2_full_p11,C2,1.0,0.4103
C2_full_p12,C2,1.0,0.351
C2_full_p13,C2,1.0,0.4389
C2_full_p14,C2,1.0,0.5194
C2_full_p15,C2,1.0,0.3429
C2_none_p00,C2,1.0,0.3884
C2_none_p01,C2,1.0,0.5308
C2_none_p02,C2,1.0,0.1993
C2_none_p03,C2,1.0,0.4152
C2_none_p04,C2,1.0,0.4731
C2_none_p05,C2,1.0,0.4561
C2_none_p06,C2,1.0,0.5131
C2_none_p07,C2,1.0,0.1604
C2_none_p08,C2,1.0,0.3185
C2_none_p09,C2,1.0,0.4227
C2_none_p10,C2,1.0,0.497
C2_none_p11,C2,1.0,0.4394
C2_none_p12,C2,1.0,0.3617
C2_none_p13,C2,1.0,0.5706
C2_none_p14,C2,1.0,0.5707
C2_none_p15,C2,1.0,0.3088
C3_full_p00,C3,0.3706,0.3706
C3_full_p01,C3,0.6984,0.5242
C3_full_p02,C3,0.313,0.2646
C3_full_p03,C3,0.5589,0.4337
C3_full_p04,C3,0.4487,0.4487
C3_full_p05,C3,0.3699,0.3395
C3_full_p06,C3,0.5127,0.5127
C3_full_p07,C3,0.2947,0.2672
C3_full_p08,C3,0.4455,0.4455
C3_full_p09,C3,0.5014,0.4202
C3_full_p10,C3,0.3729,0.3729
C3_full_p11,C3,0.5404,0.4533
C3_full_p12,C3,0.4347,0.2881
C3_full_p13,C3,0.3982,0.3982
C3_full_p14,C3,0.6204,0.5429
C3_full_p15,C3,0.5197,0.383
C3_none_p00,C3,0.3286,0.3286
C3_none_p01,C3,0.5532,0.5049
C3_none_p02,C3,0.1637,0.1637
C3_none_p03,C3,0.2758,0.2758
C3_none_p04,C3,0.453,0.4211
C3_none_p05,C3,0.1971,0.1971
C3_none_p06,C3,0.667,0.4818
C3_none_p07,C3,0.2971,0.2149
C3_none_p08,C3,0.3774,0.3157
C3_none_p09,C3,0.5138,0.4231
C3_none_p10,C3,0.4856,0.4856
C3_none_p11,C3,0.3747,0.3747
C3_none_p12,C3,0.3747,0.2492
C3_none_p13,C3,0.2773,0.2773
C3_none_p14,C3,0.6203,0.5132
C3_none_p15,C3,0.4578,0.3617
