output_id,copy_rate,copy_flag,window_overlap,max_source
C3_full_p00,0.0352,False,0.0,"full life. And so, I want to tell you what made me pick up the book to begin wit"
C3_full_p01,0.005,False,0.0,someone else can actually invent a technology that will drastically increase uh 
C3_full_p02,0.0321,False,0.0,money is not his main object. He believes that men who accomplish things do not 
C3_full_p03,0.0138,False,0.0,"once to you, but I think will keep being more and more obvious as we go through "
C3_full_p04,0.0053,False,0.0,"paragraph or page can be revelatory. New meanings, deeper understandings, inspir"
C3_full_p05,0.0105,False,0.0,"Title: How Rockefeller Worked So, I have a collection of these obscure Rockefell"
C3_full_p06,0.005,False,0.0,"paragraph or page can be revelatory. New meanings, deeper understandings, inspir"
C3_full_p07,0.0069,False,0.0,"Title: How Rockefeller Worked So, I have a collection of these obscure Rockefell"
C3_full_p08,0.0052,False,0.0,"paragraph or page can be revelatory. New meanings, deeper understandings, inspir"
C3_full_p09,0.0135,False,0.0,handheld devices and they would scan every single thing to make sure that the pr
C3_full_p10,0.0053,False,0.0,"paragraph or page can be revelatory. New meanings, deeper understandings, inspir"
C3_full_p11,0.0053,False,0.0,"paragraph or page can be revelatory. New meanings, deeper understandings, inspir"
C3_full_p12,0.0086,False,0.0,"the competitor. Here's what James Dyson, James Dyson wrote as his second autobio"
C3_full_p13,0.0241,False,0.0,get to the part where Ken talks about almost going out of business. He says ther
C3_full_p14,0.0052,False,0.0,"paragraph or page can be revelatory. New meanings, deeper understandings, inspir"
C3_full_p15,0.0087,False,0.0,easier the pursuit of beauty is Honorable and then she continu talking about her
C3_none_p00,0.0018,False,0.0,"and fortify your work, driving you closer to home. In 1974, I was a young and de"
C3_none_p01,0.0018,False,0.0,someone else can actually invent a technology that will drastically increase uh 
C3_none_p02,0.0069,False,0.0,"the people on the Macintosh team would have been writers, musicians or artists. "
C3_none_p03,0.0052,False,0.0,"once to you, but I think will keep being more and more obvious as we go through "
C3_none_p04,0.0147,False,0.0,someone else can actually invent a technology that will drastically increase uh 
C3_none_p05,0.0018,False,0.0,a passion held him to the office. figures in the ledgers were to him like words 
C3_none_p06,0.0055,False,0.0,"they have AWS, like these businesses seem so different from each other? How are "
C3_none_p07,0.0071,False,0.0,"Title: How Rockefeller Worked So, I have a collection of these obscure Rockefell"
C3_none_p08,0.0,False,0.0,
C3_none_p09,0.0034,False,0.0,by telling us a very useful preface or guide for reading the book. Nothing in th
C3_none_p10,0.0037,False,0.0,"to experience. This process called neimawashi takes time and patience, but it re"
C3_none_p11,0.0306,False,0.0,helped us to make substantial progress. We intend to build the world's most cust
C3_none_p12,0.005,False,0.0,our customer 23% not including all the time. So again I just love this idea. He'
C3_none_p13,0.0375,False,0.0,get to the part where Ken talks about almost going out of business. He says ther
C3_none_p14,0.0,False,0.0,
C3_none_p15,0.0035,False,0.0,"once to you, but I think will keep being more and more obvious as we go through "
