proxy,kind,conditions,z,p_one_sided,n,diff,ci_lo,ci_hi,cliffs_delta,ci_excludes_zero
calibrated_luar,JT_trend_increasing(none),C1<C2<C3,2.421,0.00773,,,,,,
calibrated_luar,C2-C1(none),,,,16.0,1.1369,0.1018,2.1865,0.234,True
calibrated_luar,C3-C2(none),,,,16.0,1.2834,-0.497,3.06,0.297,False
calibrated_luar,C3-C1(none),,,,16.0,2.4203,0.5637,4.2552,0.469,True
neg_burrows,JT_trend_increasing(none),C1<C2<C3,2.554,0.00533,,,,,,
neg_burrows,C2-C1(none),,,,16.0,0.0035,-0.0497,0.0526,-0.031,False
neg_burrows,C3-C2(none),,,,16.0,0.0844,0.0363,0.1292,0.508,True
neg_burrows,C3-C1(none),,,,16.0,0.0879,0.0297,0.1423,0.578,True
llm_judge_fidelity,JT_trend_increasing(none),C2<C3,2.396,0.00829,,,,,,
llm_judge_fidelity,C3-C2(none),,,,16.0,0.3125,0.125,0.5625,0.312,True
distinct_2,C3-C1(none) [novelty down],,,,16.0,-0.0321,-0.0437,-0.0209,-0.828,True
