output_id,condition,ablation,prompt_id
C1_none_p00,C1,none,p00
C1_none_p01,C1,none,p01
C1_none_p02,C1,none,p02
C1_none_p03,C1,none,p03
C1_none_p04,C1,none,p04
C1_none_p05,C1,none,p05
C1_none_p06,C1,none,p06
C1_none_p07,C1,none,p07
C1_none_p08,C1,none,p08
C1_none_p09,C1,none,p09
C1_none_p10,C1,none,p10
C1_none_p11,C1,none,p11
C1_none_p12,C1,none,p12
C1_none_p13,C1,none,p13
C1_none_p14,C1,none,p14
C1_none_p15,C1,none,p15
C2_full_p00,C2,full,p00
C2_full_p01,C2,full,p01
C2_full_p02,C2,full,p02
C2_full_p03,C2,full,p03
C2_full_p04,C2,full,p04
C2_full_p05,C2,full,p05
C2_full_p06,C2,full,p06
C2_full_p07,C2,full,p07
C2_full_p08,C2,full,p08
C2_full_p09,C2,full,p09
C2_full_p10,C2,full,p10
C2_full_p11,C2,full,p11
C2_full_p12,C2,full,p12
C2_full_p13,C2,full,p13
C2_full_p14,C2,full,p14
C2_full_p15,C2,full,p15
C2_none_p00,C2,none,p00
C2_none_p01,C2,none,p01
C2_none_p02,C2,none,p02
C2_none_p03,C2,none,p03
C2_none_p04,C2,none,p04
C2_none_p05,C2,none,p05
C2_none_p06,C2,none,p06
C2_none_p07,C2,none,p07
C2_none_p08,C2,none,p08
C2_none_p09,C2,none,p09
C2_none_p10,C2,none,p10
C2_none_p11,C2,none,p11
C2_none_p12,C2,none,p12
C2_none_p13,C2,none,p13
C2_none_p14,C2,none,p14
C2_none_p15,C2,none,p15
C3_full_p00,C3,full,p00
C3_full_p01,C3,full,p01
C3_full_p02,C3,full,p02
C3_full_p03,C3,full,p03
C3_full_p04,C3,full,p04
C3_full_p05,C3,full,p05
C3_full_p06,C3,full,p06
C3_full_p07,C3,full,p07
C3_full_p08,C3,full,p08
C3_full_p09,C3,full,p09
C3_full_p10,C3,full,p10
C3_full_p11,C3,full,p11
C3_full_p12,C3,full,p12
C3_full_p13,C3,full,p13
C3_full_p14,C3,full,p14
C3_full_p15,C3,full,p15
C3_none_p00,C3,none,p00
C3_none_p01,C3,none,p01
C3_none_p02,C3,none,p02
C3_none_p03,C3,none,p03
C3_none_p04,C3,none,p04
C3_none_p05,C3,none,p05
C3_none_p06,C3,none,p06
C3_none_p07,C3,none,p07
C3_none_p08,C3,none,p08
C3_none_p09,C3,none,p09
C3_none_p10,C3,none,p10
C3_none_p11,C3,none,p11
C3_none_p12,C3,none,p12
C3_none_p13,C3,none,p13
C3_none_p14,C3,none,p14
C3_none_p15,C3,none,p15
